TmID;JerseyName;FullName;BirthDate;BirthPlace;Height;PrimPosition;Foot;Outfitter;NumGames;NumGoals;NumIntGames;NumIntGoals
15;Marschall;Olaf Marschall;1966-03-19;Torgau;1,86 m;Centre-Forward;right;;0;0;13;3
20;Roos;Axel Roos;1964-08-19;Rodalben;N/A;Centre-Back;N/A;;0;0;0;0
113;Heinrich;Jörg Heinrich;1969-12-06;Rathenow;1,86 m;Left-Back;both;;0;0;37;2
122;Lehmann;Jens Lehmann;1969-11-10;Essen;1,90 m;Goalkeeper;right;;0;0;61;0
126;Nijhuis;Alfred Nijhuis;1966-03-23;Utrecht;1,88 m;Centre-Back;right;;0;0;0;0
130;Reuter;Stefan Reuter;1966-10-16;Dinkelsbühl;1,81 m;Right Midfield;right;;0;0;69;2
151;Miletic;Zdenko Miletić;1968-04-23;Sarajevo;1,91 m;Goalkeeper;right;;0;0;0;0
180;Piplica;Tomislav Piplica;1969-04-05;Bugojno;1,82 m;Goalkeeper;;;0;0;9;0
196;Dreher;Bernd Dreher;1966-11-02;Opladen;N/A;Goalkeeper;N/A;;0;0;0;0
197;Effenberg;Stefan Effenberg;1968-08-02;Hamburg;1,86 m;Central Midfield;both;;0;0;35;5
206;Kahn;Oliver Rolf Kahn;1969-06-15;Karlsruhe;1,88 m;Goalkeeper;right;;0;0;86;0
209;Linke;Thomas Linke;1969-12-26;Sömmerda;N/A;Centre-Back;N/A;;0;0;43;1
222;Tarnat;Michael Tarnat;1969-10-27;Hilden;1,86 m;Left-Back;left;;0;0;21;1
270;Legat;Thorsten Legat;1968-11-07;Bochum;1,85 m;Left Midfield;left;;0;0;1;0
310;Hollerbach;Bernd Hollerbach;1969-12-08;Würzburg;1,77 m;Left-Back;left;;0;0;0;0
323;Spörl;Harald Spörl;1966-10-31;Bamberg;1,70 m;Right Midfield;right;;0;0;0;0
328;Yeboah;Anthony Yeboah;1966-06-06;Kumasi;1,80 m;Centre-Forward;both;;0;0;59;26
356;Thom;Andreas Thom;1965-09-07;Rüdersdorf;1,78 m;Centre-Forward;right;;0;0;10;2
360;Wosz;Dariusz Wosz;1969-06-08;Piekary Slaskie;1,69 m;Attacking Midfield;left;;0;0;17;1
361;Reinke;Andreas Reinke;1969-01-10;Krakow am See;N/A;Goalkeeper;N/A;;0;0;0;0
377;Schneider;Martin Schneider;1968-11-24;Schweinfurt;N/A;Defensive Midfield;N/A;;0;0;8;1
387;Wohlert;Torsten Wohlert;1965-12-10;Travemünde;1,80 m;Centre-Back;right;;0;0;0;0
443;Kracht;Torsten Kracht;1967-10-04;Grimma;N/A;Centre-Back;N/A;;0;0;2;0
535;Skripnik;Скрипник Віктор Анатолійович;1969-11-19;Novomoskovsk, Dnipropetrovsk Region;1,84 m;Left-Back;left;;0;0;24;2
541;Verlaat;Frank Verlaat;1968-03-05;Haarlem;N/A;Centre-Back;N/A;;0;0;1;0
576;Motzke;Thomas Motzke;1968-05-12;SchwabmÃ1⁄4nchen;N/A;Central Midfield;N/A;;0;0;0;0
615;Trautner;Eberhard Trautner;1967-02-07;Bad Cannstatt;1,84 m;Goalkeeper;right;;0;0;0;0
642;van Duijnhoven;Rein van Duijnhoven;1967-09-05;Veghel;1,93 m;Goalkeeper;right;;0;0;0;0
657;Hiemann;Holger Hiemann;1968-01-12;Karl-Marx-Stadt;N/A;Goalkeeper;N/A;;0;0;0;0
660;Kryger;Waldemar Kryger;1968-11-08;Poznań;N/A;Centre-Back;N/A;;0;0;5;1
678;Wagner;Martin Wagner;1968-02-24;Offenburg;1,74 m;Left Midfield;left;;0;0;6;0
725;Adler;Oliver Adler;1967-10-14;Duisburg;N/A;Goalkeeper;N/A;;0;0;0;0
727;Backhaus;Sven Backhaus;1968-06-01;Düsseldorf;N/A;Sweeper;N/A;;0;0;0;0
749;Bürger;Henning Bürger;1969-12-16;Zeulenroda;1,73 m;Left Midfield;left;;0;0;0;0
814;Barbosa Santos;Vilmar Barbosa Santos;1968-01-07;;;Centre-Back;;;0;0;0;0
843;Sbordone;Domenico Sbordone;1969-09-03;München;N/A;Centre-Back;N/A;;0;0;0;0
852;Walther;Ingo Walther;1969-11-16;Jena;1,76 m;Defensive Midfield;right;;0;0;0;0
874;Täuber;Stephan Täuber;1966-10-08;Erlangen;N/A;Centre-Back;N/A;;0;0;0;0
875;Luginger;Jürgen Luginger;1967-12-08;Ergolding;1,80 m;Right Midfield;right;;0;0;0;0
