TmID;FullName;BirthDate;BirthPlace;Height;TrainerLicense;PreferredFormation;NumGames
2;Rainer Adrion;1953-12-10;Stuttgart;;;;0
3;Dick Advocaat;1947-09-27;Den Haag;;UEFA Pro Licence;4-3-3 Attacking;0
4;Sir Alex Ferguson;1941-12-31;Govan, Glasgow;;UEFA Pro Licence;;0
6;Martin Andermatt;1961-11-21;Baar;;UEFA Pro Licence;;0
7;Aimé Anthuenis;1943-12-21;Lokeren;;;;0
9;Nils Arne Eggen;1941-09-17;Orkdal;;;;0
10;Klaus Augenthaler;1957-09-26;Fürstenzell;;Head coach;;0
13;Otto Baric;1932-06-19;Eisenkappel;;UEFA Pro Licence;;0
15;Colin Bell;1961-08-05;Leicester;;Head coach;;0
16;Jörg Berger;1944-10-13;Gotenhafen;;Head coach;;0
19;Rudi Bommer;1957-08-19;Aschaffenburg;;Head coach;4-2-3-1;0
20;Hannes Bongartz;1951-10-03;Bonn;;;;0
21;Rainer Bonhof;1952-03-29;Emmerich;;;;0
23;Andreas Brehme;1960-11-09;Hamburg;;;;0
24;Hans-Peter Briegel;1955-10-11;Kaiserslautern;;;;0
34;Pál Csernai;1932-10-21;Pilis;;Head coach;;0
38;Christoph Daum;1953-10-24;Zwickau;;Head coach;;0
40;Vicente del Bosque;1950-12-23;Salamanca;;UEFA Pro Licence;;0
42;Dietmar Demuth;1955-01-14;Querfurt;;;4-2-3-1;0
44;Jupp Derwall;1927-03-10;Würselen;;;;0
49;Bernard Dietz;1948-03-22;Bockum-Hövel;;;;0
50;Hans-Jürgen Dörner;1951-01-25;Görlitz;;;;0
54;Gerry Ehrmann;1959-02-18;Tauberbischofsheim;;;;0
55;Seppo Eichkorn;1956-09-16;Radolfzell;;Head coach;;0
59;Uwe Erkenbrecher;1954-11-14;Delmenhorst;;Head coach;4-2-3-1;0
62;Karl-Heinz Feldkamp;1934-06-02;Essen;;;;0
65;Volker Finke;1948-03-24;Nienburg/Weser;;Head coach;;0
70;Rolf Fringer;1957-01-26;Adliswil;;;;0
72;Friedhelm Funkel;1953-12-10;Neuss;;Head coach;4-4-2 double 6;0
73;Jürgen Gelsdorf;1953-01-19;Duisburg;;Head coach;;0
75;Hermann Gerland;1954-06-04;Bochum;;Head coach;;0
76;Eduard Geyer;1944-10-07;Bielitz;;;;0
81;Rudi Gutendorf;1926-08-30;Koblenz;;;;0
83;Arie Haan;1948-11-16;Finsterwolde;;;;0
84;Eugen Hach;1960-09-19;Kaiserslautern;;Head coach;;0
88;Sigfried Held;1942-08-07;Freudenthal;;;;0
90;Jupp Heynckes;1945-05-09;Mönchengladbach;;Head coach;4-3-3 Attacking;0
91;Josef Hickersberger;1948-04-27;Amstetten;;UEFA Pro Licence;;0
92;Ottmar Hitzfeld;1949-01-12;Lörrach;;Head coach;;0
94;Reiner Hollmann;1949-09-30;Walsum;;;;0
97;Horst Hrubesch;1951-04-17;Hamm (Westf.);;Head coach;;0
102;Kurt Jara;1950-10-14;Innsbruck;;UEFA Pro Licence;;0
115;Gerhard Kleppinger;1958-03-01;Ober-Ramstadt;;Head coach;;0
124;Horst Köppel;1948-05-17;Stuttgart;;;;0
126;Lorenz-Günther Köstner;1952-01-30;Wallenfels;;Licence trainer;;0
128;Hans Krankl;1953-02-14;Wien;;UEFA Pro Licence;;0
129;Bernd Krauss;1957-05-08;Dortmund;;;;0
140;Ewald Lienen;1953-11-28;Liemke;;Head coach;;0
141;Pierre Littbarski;1960-04-16;Berlin;;;;0
144;Werner Lorant;1948-11-21;Welver;;;;0
149;Felix Magath;1953-07-26;Aschaffenburg;;Head coach;;0
155;Lothar Matthäus;1961-03-21;Erlangen;;Head coach;;0
158;Norbert Meier;1958-09-20;Reinbek;;Head coach;4-2-3-1;0
166;Benno Möhlmann;1954-08-01;Lohne;;Head coach;;0
173;Peter Neururer;1955-04-26;Marl;;Head coach;;0
176;Martin O'Neill;1952-03-01;Kilrea;;UEFA Pro Licence;4-2-3-1;0
179;Morten Olsen;1949-08-14;Vordingborg;;UEFA Pro Licence;;0
181;Holger Osieck;1948-08-31;Homberg;;;;0
183;Peter Pacult;1959-10-28;Wien;;UEFA Pro Licence;4-2-3-1;0
184;Frank Pagelsdorf;1958-02-05;Hannover;;Head coach;;0
185;Ingo Peter;1951-10-23;Dortmund;;;;0
190;Joachim Philipkowski;1961-02-26;Mragowo;;;3-4-3;0
196;Ralf Rangnick;1958-06-29;Backnang;;Head coach;4-4-2 double 6;0
