TmID;JerseyName;FullName;BirthDate;BirthPlace;Height;PrimPosition;Foot;Outfitter;NumGames;NumGoals;NumIntGames;NumIntGoals
116;Kapetanovic;Sead Kapetanović;1972-01-21;Sarajevo;N/A;Right Midfield;N/A;;58;2;14;0
130;Reuter;Stefan Reuter;1966-10-16;Dinkelsbühl;1,81 m;Right Midfield;right;;546;26;69;2
166;Berntsen;Gunnar Berntsen;1977-10-30;Frankfurt (Oder);N/A;Goalkeeper;;;2;0;0;0
171;Kobylanski;Andrzej Kobylański;1970-07-31;Ostrowiec Świętokrzyski;N/A;Left Midfield;N/A;;88;8;6;0
176;MÃ¡tyus;JÃ¡nos MÃ¡tyus;1974-12-20;GyÅ‘r;1,93 m;Centre-Back;left;;46;3;34;3
178;Micevski;Тони Мицевски;1970-01-20;Bitola;N/A;Attacking Midfield;N/A;;62;5;43;4
185;SebÅ‘k;Vilmos SebÅ‘k;1973-06-13;Budapest;N/A;Centre-Back;N/A;;44;3;52;9
205;Johansson;Nils-Eric Johansson;1980-01-13;Stockholm;1,87 m;Left-Back;left;;96;0;3;0
214;Salihamidzic;Hasan Salihamidžić;1977-01-01;Jablanica;1,76 m;Right Midfield;both;;409;62;43;6
233;Bräutigam;Perry Bräutigam;1963-03-28;Altenburg;1,89 m;Goalkeeper;right;;104;0;3;0
256;Schröder;Rayk Schröder;1974-12-25;Berlin;N/A;Right-Back;N/A;;56;3;0;0
274;Nemec;Jiří Němec;1966-05-15;Pacov;N/A;Defensive Midfield;N/A;;262;6;64;1
310;Hollerbach;Bernd Hollerbach;1969-12-08;Würzburg;1,77 m;Left-Back;left;;1218;6;0;0
331;Eckhardt;Michael Eckhardt;1978-09-15;Frankfurt am Main;N/A;Goalkeeper;N/A;;0;0;0;0
361;Reinke;Andreas Reinke;1969-01-10;Krakow am See;N/A;Goalkeeper;N/A;;251;0;0;0
406;Hermel;Lars Hermel;1970-09-28;Karl-Marx-Stadt;1,80 m;Sweeper;right;;103;0;0;0
407;Hügel;Volker Hügel;1980-06-20;;N/A;;N/A;;0;0;0;0
432;Lösch;Markus Lösch;1971-09-26;Stuttgart;1,80 m;Defensive Midfield;left;;36;0;0;0
