TmID;JerseyName;FullName;BirthDate;BirthPlace;Height;PrimPosition;Foot;Outfitter;NumGames;NumGoals;NumIntGames;NumIntGoals
116;Kapetanovic;Sead Kapetanović;1972-01-21;Sarajevo;N/A;Right Midfield;N/A;;0;0;14;0
130;Reuter;Stefan Reuter;1966-10-16;Dinkelsbühl;1,81 m;Right Midfield;right;;0;0;69;2
171;Kobylanski;Andrzej Kobylański;1970-07-31;Ostrowiec Świętokrzyski;N/A;Left Midfield;N/A;;0;0;6;0
178;Micevski;Тони Мицевски;1970-01-20;Bitola;N/A;Attacking Midfield;N/A;;0;0;43;4
185;SebÅ‘k;Vilmos SebÅ‘k;1973-06-13;Budapest;N/A;Centre-Back;N/A;;0;0;52;9
233;Bräutigam;Perry Bräutigam;1963-03-28;Altenburg;1,89 m;Goalkeeper;right;;0;0;3;0
274;Nemec;Jiří Němec;1966-05-15;Pacov;N/A;Defensive Midfield;N/A;;0;0;64;1
310;Hollerbach;Bernd Hollerbach;1969-12-08;Würzburg;1,77 m;Left-Back;left;;0;0;0;0
361;Reinke;Andreas Reinke;1969-01-10;Krakow am See;N/A;Goalkeeper;N/A;;0;0;0;0
406;Hermel;Lars Hermel;1970-09-28;Karl-Marx-Stadt;1,80 m;Sweeper;right;;0;0;0;0
432;Lösch;Markus Lösch;1971-09-26;Stuttgart;1,80 m;Defensive Midfield;left;;0;0;0;0
445;Menger;Andreas Menger;1972-09-11;Berlin;1,88 m;Goalkeeper;right;;0;0;0;0
520;Bode;Marco Bode;1969-07-23;Osterode am Harz;1,89 m;Left Winger;left;;0;0;40;9
573;Zelic;Nedijeljko Zelic;1971-07-04;Sydney;N/A;Defensive Midfield;N/A;;0;0;40;5
669;O`Neil;Brian O`Neil;1972-09-06;Paisley;N/A;Centre-Back;N/A;;0;0;7;0
678;Wagner;Martin Wagner;1968-02-24;Offenburg;1,74 m;Left Midfield;left;;0;0;6;0
710;Meijer;Erik Meijer;1969-08-02;Meerssen;N/A;Centre-Forward;N/A;;0;0;1;0
727;Backhaus;Sven Backhaus;1968-06-01;Düsseldorf;N/A;Sweeper;N/A;;0;0;0;0
840;Reichold;Günther Reichold;1965-06-10;Hochstahl;N/A;Goalkeeper;N/A;;0;0;0;0
885;Obad;Adis Obad;1971-05-12;Mostar;1,78 m;Left Winger;left;;0;0;2;0
924;Hildmann;Sascha Hildmann;1972-04-07;Kaiserslautern;1,84 m;;both;;0;0;0;0
1088;Wenschlag;Kay Wenschlag;1970-02-25;Berlin (Ost);N/A;Sweeper;N/A;;0;0;0;0
1158;Christ;Sven Iwan Christ;1973-12-09;Biel/Bienne;1,83 m;Centre-Back;;;0;0;2;0
1219;Isa;Harun Isa;1969-06-21;Tetovo;N/A;;N/A;;0;0;0;0
1226;Kunze;Alexander Kunze;1971-01-12;Marienberg;1,93 m;Goalkeeper;;;0;0;0;0
1291;HÃ¤rtel;Jens HÃ¤rtel;1969-06-07;Rochlitz;;;;;0;0;0;0
1538;Pavlin;Miran Pavlin;1971-10-08;Kranj;N/A;Attacking Midfield;N/A;;0;0;64;5
2099;Hoßmang;Thomas Hoßmang;1966-11-27;Hoyerswerda;1,84 m;Sweeper;;;0;0;0;0
2205;Kuci;Afrim Kuçi;1970-05-19;;N/A;Sweeper;N/A;;0;0;0;0
2522;Seifert;Frank Seifert;1972-10-02;;;Central Midfield;N/A;;0;0;0;0
2605;Thier;César Luis Thier;1967-10-15;Santa Cruz do Sul;1,87 m;Goalkeeper;;;0;0;0;0
2959;Rushfeldt;Sigurd Rushfeldt;1972-12-11;Vadsø;1,90 m;Centre-Forward;right;;0;0;38;7
3056;Neukirchner;Günther Neukirchner;1971-12-02;Grambach;1,77 m;;right;;0;0;14;1
3089;Bartlett;Thurston Shaun Bartlett;1972-10-31;Cape Town, Western Cape;1,88 m;Centre-Forward;right;;0;0;74;28
3101;Niemi;Antti Mikko Niemi;1972-05-31;Oulu;1,86 m;Goalkeeper;right;;0;0;68;0
3175;Hasselbaink;Jerrel Hasselbaink;1972-03-27;Paramaribo;1,78 m;Centre-Forward;right;;0;0;23;9
3211;Xavier;Abel Luis da Silva Costa Xavier;1972-11-30;Nampula;1,89 m;Right-Back;right;;0;0;20;2
3247;Ehiogu;Ugochuku Ehiogu;1972-11-03;London;1,92 m;Centre-Back;right;;0;0;4;1
3267;Allbäck;Marcus Christian Allbäck;1973-07-05;Göteborg;N/A;Centre-Forward;N/A;;0;0;74;30
3299;Bennett;Ian Michael Bennett;1971-10-10;Worksop;1,83 m;Goalkeeper;;;0;0;0;0
3300;Benarbia;Ali Benarbia;1968-10-08;Oran;1,71 m;Attacking Midfield;right;;0;0;9;0
3387;Lonfat;Johann Lonfat;1973-03-11;Martigny;1,79 m;Right Midfield;right;;0;0;23;0
3406;Giggs;Ryan Joseph Giggs;1973-11-29;Cardiff;1,79 m;Left Midfield;left;;0;0;64;12
3504;Özalan;Fehmi Alpay Özalan;1973-05-29;Izmir;1,88 m;Centre-Back;right;;0;0;90;4
3524;Simone;Marco Simone;1969-01-07;Castellanza;1,70 m;Centre-Forward;both;;0;0;4;0
3535;Ricardo;Ricardo Lﾃｳpez Felipe;1971-12-30;Madrid;1,87 m;Goalkeeper;left;;0;0;2;0
3557;Stam;Jakob Stam;1972-07-17;Kampen;1,91 m;Centre-Back;right;;0;0;66;3
3561;Karelse;John Karelse;1970-05-17;Wemeldinge;;Goalkeeper;;;0;0;0;0
3571;Boksic;Alen Boksic;1970-01-21;Makarska;1,87 m;Centre-Forward;right;;0;0;41;10
3608;Keller;Kasey Christopher Keller;1969-11-29;Olympia, Washington;N/A;Goalkeeper;N/A;;0;0;103;0
3699;Di Canio;Paolo Di Canio;1968-07-09;Roma;N/A;Centre-Forward;N/A;;0;0;9;2
3738;Marriott;Andrew Marriott;1970-10-11;Sutton-in-Ashfield;1,83 m;Goalkeeper;;;0;0;5;0
3787;Hignett;Craig Hignett;1970-01-12;Liverpool;1,79 m;Right Winger;right;;0;0;0;0
3813;Vidmar;Anthony Vidmar;1970-07-04;Adelaide;1,86 m;Left-Back;left;;0;0;77;3
3823;Berg;Henning Stille Berg;1969-09-01;Eidsvoll;1,83 m;Right-Back;right;;0;0;101;9
3911;Bonnissel;Jérôme Bonnissel;1973-04-16;Montpellier;1,74 m;Left-Back;left;;0;0;0;0
4250;Impey;Andy Impey;1971-09-13;London;1,73 m;Defensive Midfield;right;;0;0;1;0
4281;Pollet;Ludovic Pollet;1970-06-18;Vieux-Condé;1,84 m;Centre-Back;right;;0;0;0;0
4319;Galásek;Tomáš Galásek;1973-01-15;Frýdek-Místek;1,80 m;Defensive Midfield;right;;0;0;69;1
